author,body,datalegacylang
gijoe_abn,@BostonGlobe Swarming armed federal agents is foolish. It endangers everyone involved. #MassDeportationsNow is not going away. Protecting these monsters is insane.  https://t.co/KptpZs6G5B,en
KentuckyW0man,So what is your plan to #massdeportationsnow?  The feds have dropped the ball on this. You will be a junior senator if elected \‚not much power.,en
lisal356,@nicksortor @liberty_clarion #MassDeportationsNow   THEY ALL MUST GO!  NO AMNESTY!,en
lisal356,@RealTheoWold @BorderHawkNews #MassDeportationsNow They ALL MUST GO!,en
MonicaB927,Exactly.  Same with housing prices and rent.  The more we deport\‚ the more prices come down.   #MassDeportationsNow,en
MonicaB927,Exactly.  @POTUS @VP @StephenM @ICEgov @DHSgov @RealTomHoman @SecMullinDHS #MassDeportationsNow @SecScottBessent take their benefits away\‚ de bank them\‚ increase the cost to send our money to their country.,en
MonicaB927,@DNC @TheDemocrats @JoeBiden @KamalaHarris @AliMayorkas let these criminals in &amp; don’t want deported @RepMariaSalazar @RepMikeLawler #MassDeportationsNow @ananavarro,en
lisal356,@DHSgov @SecMullinDHS #MassDeportationsNow NO AMNESTY!  THEY ALL MUST GO! DON\'T REWARD CRIMINALS!,en
lisal356,@JesseKellyDC @BorderHawkNews #MassDeportationsNow   NO AMNESTY!   DON\'T REWARD CRIMINALS!   ILLEGAL = CRIMINAL,en
lisal356,@RepLuna @seanmdav No Save Act - NO FISA!  #MassDeportationsNow   NO AMNESTY!  NO REWARDING CRIMINALS!   THEY ALL MUST GO!,en
MonicaB927,@RepMariaSalazar @RepMikeLawler No Dignity Act #MassDeportationsNow,en
MonicaB927,Stop the insanity @EDSecMcMahon @POTUS @VP @EDSecMcMahon @stephenasmith @billmaher #MassDeportationsNow @AndrewKolvet @TPUSA,en
Lambigirl,Or immigrants convicted of ANY crime.  And naturalized citizens who lie about their marriage and their net worth in Congress. They’ve ALL got to go. #massdeportationsnow,en
lisal356,@SecRubio @StateDept #MassDeportationsNow!  NO AMNESTY!   Don\'t reward criminals!,en
