author,body,datalegacylang
wh0isbanshee,"@LisaJones37798 @chinascio @MFA_China @mfa_russia @MoveTheWorld @HuXijin_GT @SpoxCHN_MaoNing @BBCBreaking @10DowningStreet @PhaedraXTeddy @XHNews @TopuzzoC @UN DO SOMETHING, CHINA!\n#StopAnimalAbusersChina #ChinaNeedsAnimalLaw #BoycottChina #ShameOnChina #China \n\n@SpokespersonCHN\n@XinhuaChinese\n@cgtnamerica\n@PeopleChina\n@kouhoubuchn\n@jenniferzeng97\n@MFA_China\n@china_epoch\n@SpoxCHNinUS\n@PDChinese\n@Cloudflare\n@PDChina @XHNews @cnn @XieFeng",en
Wangli720985,"Gansu &amp; Sichuan temples under CCP boot: Shi Taifeng enforces Sinicization, turning sacred Buddhist sites into party propaganda hubs. This is assimilation by force. #EndChinaGenocide #FreeTibetans #BoycottChina\nhttps://t.co/RaLetP7G42 https://t.co/CitzQlvL6A",en
tisdaleorwhat,The official article seeking public opinions was taken down/deleted on April 23rd for unknown reason. The legislation isn't as promising as everyone thought. Keep #boycottchina,en
No_More_China,"China will lie, cheat and deceive at every possible opportunity. It is a culture built on greed and making money by cheating others. Why do we still allow thousands of Chinese nationals to buy their way in to our country? #StopImmigration #BoycottChina",en
hanyscatfella,@branaf0 @NyisztorLivia Xiiiiit. \n\nAaaanyways.\n#BoycottChina,en
wh0isbanshee,@Samesamaalways #StopAnimalAbusersChina #ChinaNeedsAnimalLaw #BoycottChina #ShameOnChina #China \n\n@SpokespersonCHN\n@XinhuaChinese\n@cgtnamerica\n@PeopleChina\n@kouhoubuchn\n@jenniferzeng97\n@MFA_China\n@china_epoch\n@SpoxCHNinUS\n@PDChinese\n@Cloudflare\n@PDChina @XHNews @cnn @XieFeng,qme
bl0nkie,#中国猫のSOS \n#中国猫の拷問ビジネス \nShame on China 💢\n\n#BoycottChina #StopChinaCatTorture \nHow long more will China government stay silent against evil cat killers in this country?💢\n\n#StopAnimalCruelty \n\n#SaveYulinDogs #StopYulinForever #BanAnimalCrueltybyLaw,en
eAnKt8fTsTThYG3,@Samesamaalways #boycottchina https://t.co/h9ZOpl1eQ6,qme
eAnKt8fTsTThYG3,@momentosemfim @JuanFra03918668 #boycottchina https://t.co/1X0oWWiwGT,qme
wh0isbanshee,@Kangarooei #中国猫のSOS \n#中国猫の拷問ビジネス \nShame on China 💢\n\n#BoycottChina #StopChinaCatTorture \nHow long more will China government stay silent against evil cat killers in this country?💢\n\n#StopAnimalCruelty \n\n#SaveYulinDogs #StopYulinForever #BanAnimalCrueltybyLaw,en
DownWithTheSNP,#BoycottChina,qht
RamirezVelhagen,#BoycottChina environmental terrorist,es
No_More_China,Good question. Starting to happen in Australia too. #BoycottChina,en
No_More_China,How do Chinese government officials allow this level of criminal incompetence to continue? Corruption and a complete apathy to human life without consequences. We should no longer allow Chinese nationals to migrate to western countries. #BoycottChina,en
MUFCButcher2023,@Jhonffonseca #BoycottCPP #BoycottChina,qme
No_More_China,To think Chinese nationals would do anything different when they migrate to the west is naive and stupid. We shouldn’t allow these people to con their way into our civilised societies through scam education or investment visas. #BoycottChina,en
RadioCarne,#FUCKCHINA\n#BOYCOTTCHINA\nNO COMPRES MIERDA #MADEINCHINA\n#DERECHOSANIMALES \n#ANIMALRIGHTS,es
Marcemgffvg,"This cat torturer and killer, part of a Telegram network responsible for the torture and murder of over 1000 cats, has been arrested.  Thanks to the Chinese activists and volunteers for not giving up, for their courage in achieving this arrest #BoycottChina #StopAnimalCruelty",en
eAnKt8fTsTThYG3,@RueRarue2025 愛情深い母猫の目の前で子猫をミキサーにかけて殺し　その様子を見て楽しむ精神異常の中国人\n#boycottchina https://t.co/Ygnq6Q3cnA,ja
RueRarue2025,#中国に動物虐待禁止法の制定を求める 🐶😿\n#China #BoycottChina 🇨🇳,qme
wh0isbanshee,@domdyer70 #中国猫のSOS \n#中国猫の拷問ビジネス \nShame on China 💢\n\n#BoycottChina #StopChinaCatTorture \nHow long more will China government stay silent against evil cat killers in this country?💢\n\n#StopAnimalCruelty \n\n#SaveYulinDogs #StopYulinForever #BanAnimalCrueltybyLaw,en
wh0isbanshee,"@animals_cn DO SOMETHING, CHINA!\n#StopAnimalAbusersChina #ChinaNeedsAnimalLaw #BoycottChina #ShameOnChina #China \n\n@SpokespersonCHN\n@XinhuaChinese\n@cgtnamerica\n@PeopleChina\n@kouhoubuchn\n@jenniferzeng97\n@MFA_China\n@china_epoch\n@SpoxCHNinUS\n@PDChinese\n@Cloudflare\n@PDChina @XHNews @cnn @XieFeng",en
wh0isbanshee,"@abuserdatabase DO SOMETHING, CHINA!\n#StopAnimalAbusersChina #ChinaNeedsAnimalLaw #BoycottChina #ShameOnChina #China \n\n@SpokespersonCHN\n@XinhuaChinese\n@cgtnamerica\n@PeopleChina\n@kouhoubuchn\n@jenniferzeng97\n@MFA_China\n@china_epoch\n@SpoxCHNinUS\n@PDChinese\n@Cloudflare\n@PDChina @XHNews @cnn @XieFeng",en
wh0isbanshee,"@abuserdatabase DO SOMETHING, CHINA!\n#StopAnimalAbusersChina #ChinaNeedsAnimalLaw #BoycottChina #ShameOnChina #China \n\n@SpokespersonCHN\n@XinhuaChinese\n@cgtnamerica\n@PeopleChina\n@kouhoubuchn\n@jenniferzeng97\n@MFA_China\n@china_epoch\n@SpoxCHNinUS\n@PDChinese\n@Cloudflare\n@PDChina @XHNews @cnn @XieFeng",en
wh0isbanshee,"@abuserdatabase DO SOMETHING, CHINA.\n#StopAnimalAbusersChina #ChinaNeedsAnimalLaw #BoycottChina #ShameOnChina #China \n\n@SpokespersonCHN\n@XinhuaChinese\n@cgtnamerica\n@PeopleChina\n@kouhoubuchn\n@jenniferzeng97\n@MFA_China\n@china_epoch\n@SpoxCHNinUS\n@PDChinese\n@Cloudflare\n@PDChina @XHNews @cnn @XieFeng",en
wh0isbanshee,"@abuserdatabase DO SOMETHING, CHINA.\n#StopAnimalAbusersChina #ChinaNeedsAnimalLaw #BoycottChina #ShameOnChina #China \n@SpokespersonCHN\n@XinhuaChinese\n@cgtnamerica\n@PeopleChina\n@kouhoubuchn\n@jenniferzeng97\n@MFA_China\n@china_epoch\n@SpoxCHNinUS\n@PDChinese\n@Cloudflare\n@PDChina @XHNews @cnn @XieFeng",en
wh0isbanshee,@WeAreNotFood #Stopcatabuse #StopAnimalAbusersChina #boycottchina #stopcattorture #stopanimalcruelty #stopdogabuse\n\n@SpokespersonCHN\n@XinhuaChinese\n@cgtnamerica\n@PeopleChina\n@kouhoubuchn\n@jenniferzeng97\n@MFA_China\n@china_epoch\n@SpoxCHNinUS\n@PDChinese\n@Cloudflare\n@PDChina @XHNews @cnn,qme
NamiKim_DogsSK,"""Our support against the heinous #DogMeatTrade in #China\n\nSharing from .@WeAreNotFood\n\n➡️https://t.co/1qBC90SoYc\n\n❗#BOYCOTTCHINA UNTIL IT PUTS AN END TO THIS HELL❗\n\n\""China is full of bizarre things. Some dog owners enjoy eating cats and dogs. Actually",false
Kangarooei,"Ffs, Chinese have no idea , they will eat bloody anything with eyes, they have no animal welfare laws, evolve you shit bags.#BoycottChina",en
