author,body
wilmingtonstan,"“Off campus. Parent opt‑in. Can you do all that in an hour?”\n\n“They do. 100,000+ students already in Lifewise.”\n​\nOuttake from The Standard Podcast. \n\nFull podcast episode:  https://t.co/oFtZ3tFc8B \n\n#ncpol #ParentsRights https://t.co/ocRV4Xi7pF"
KimPepperKraft,#Parentsrights
annaleehogan,FINALLY!  Should never have been allowed in the 1st place!  #ParentsRights \n#LGBTPropoganda
LeticiaFeh81059,Thank God almighty #parentsrights
CCHR_Florida,"""#ADHD #mentalhealth #parentsrights Using the checklist for \""ADHD"
InformedBuyers,"@hindipatrakar CBSE/State rules: Parents यूनिफॉर्म, किताबें-स्टेशनरी कहीं से भी खरीद सकते हैं। School single vendor force नहीं कर सकते, multiple vendors देना जरूरी, forced logo/design भी मना है। Violation पर DEO में complaint करें। अपने अधिकार जानें, info share करें। #ParentsRights"
InformedBuyers,"@AshishK19921206 @divya_gandotra @dpradhanbjp CBSE/State rules: Parents यूनिफॉर्म, किताबें-स्टेशनरी कहीं से भी खरीद सकते हैं। School single vendor force नहीं कर सकते, multiple vendors देना जरूरी, forced logo/design भी मना है। Violation पर DEO में complaint करें। अपने अधिकार जानें, info share करें। #ParentsRights"
InformedBuyers,"@Abhimanyu1305 CBSE/State rules: Parents यूनिफॉर्म, किताबें-स्टेशनरी कहीं से भी खरीद सकते हैं। School single vendor force नहीं कर सकते, multiple vendors देना जरूरी, forced logo/design भी मना है। Violation पर DEO में complaint करें। अपने अधिकार जानें, info share करें। #ParentsRights"
InformedBuyers,"@AnilYadavmedia1 CBSE/State rules: Parents यूनिफॉर्म, किताबें-स्टेशनरी कहीं से भी खरीद सकते हैं। School single vendor force नहीं कर सकते, multiple vendors देना जरूरी, forced logo/design भी मना है। Violation पर DEO में complaint करें। अपने अधिकार जानें, info share करें। #ParentsRights 📚"
InformedBuyers,"@garrywalia_ @W24live CBSE/State rules: Parents यूनिफॉर्म, किताबें-स्टेशनरी कहीं से भी खरीद सकते हैं। School single vendor force नहीं कर सकते, multiple vendors देना जरूरी, forced logo/design भी मना है। Violation पर DEO में complaint करें। अपने अधिकार जानें, info share करें। #ParentsRights 📚"
InformedBuyers,"@garrywalia_ CBSE/State rules: Parents यूनिफॉर्म, किताबें-स्टेशनरी कहीं से भी खरीद सकते हैं। School single vendor force नहीं कर सकते, multiple vendors देना जरूरी, forced logo/design भी मना है। Violation पर DEO में complaint करें। अपने अधिकार जानें, info share करें। #ParentsRights"
InformedBuyers,"@ChandanSharmaG CBSE/State rules: Parents यूनिफॉर्म, किताबें-स्टेशनरी कहीं से भी खरीद सकते हैं। School single vendor force नहीं कर सकते, multiple vendors देना जरूरी, forced logo/design भी मना है। Violation पर DEO में complaint करें। अपने अधिकार जानें, info share करें। #ParentsRights 📚"
InformedBuyers,"@jeetusp @AnilYadavmedia1 CBSE/State rules: Parents यूनिफॉर्म, किताबें-स्टेशनरी कहीं से भी खरीद सकते हैं। School single vendor force नहीं कर सकते, multiple vendors देना जरूरी, forced logo/design भी मना है। Violation पर DEO में complaint करें। अपने अधिकार जानें, info share करें। #ParentsRights 📚"
